date,symbol,weight
2010-01-04,MMM,0.38045928286898756
2010-01-04,ABT,0.059873268330994926
2010-01-04,ACN,0.4819899605121133
2010-01-04,ATVI,0.07767748828790416
2010-01-05,MMM,0.37798194816889064
2010-01-05,ABT,0.05937471807607473
2010-01-05,ACN,0.48484777642281934
2010-01-05,ATVI,0.07779555733221531
2010-01-06,MMM,0.37938462404434825
2010-01-06,ABT,0.05908804218912613
2010-01-06,ACN,0.4849430568061145
2010-01-06,ATVI,0.0765842769604111
2010-01-07,MMM,0.3802377864153551
2010-01-07,ABT,0.05966872727810848
2010-01-07,ACN,0.48523119460140984
2010-01-07,ATVI,0.07486229170512665
2010-01-08,MMM,0.3827482169715747
2010-01-08,ABT,0.05994731980872566
2010-01-08,ACN,0.483087986138518
2010-01-08,ATVI,0.07421647708118176
2010-01-11,MMM,0.3818771627615728
2010-01-11,ABT,0.060358486722249985
2010-01-11,ACN,0.48348519796946565
2010-01-11,ATVI,0.07427915254671154
2010-01-12,MMM,0.3836318394681809
2010-01-12,ABT,0.06041012816550771
2010-01-12,ACN,0.48222130249839623
2010-01-12,ATVI,0.0737367298679152
2010-01-13,MMM,0.3803702675532841
2010-01-13,ABT,0.06022026744506023
2010-01-13,ACN,0.4851105929223006
2010-01-13,ATVI,0.07429887207935505
2010-01-14,MMM,0.37805308828713796
2010-01-14,ABT,0.06011928560006885
2010-01-14,ACN,0.4880733170325839
2010-01-14,ATVI,0.07375430908020932
2010-01-15,MMM,0.3788821503978781
2010-01-15,ABT,0.06049770640400277
2010-01-15,ACN,0.48638433050720026
2010-01-15,ATVI,0.0742358126909188
2010-01-19,MMM,0.37959775669195656
2010-01-19,ABT,0.06012542844475006
2010-01-19,ACN,0.48776437000575235
2010-01-19,ATVI,0.07251244485754088
2010-01-20,MMM,0.37954105767390706
2010-01-20,ABT,0.06044327357248359
2010-01-20,ACN,0.4873061397954179
2010-01-20,ATVI,0.0727095289581915
2010-01-21,MMM,0.3765272164503686
2010-01-21,ABT,0.06068522715552353
2010-01-21,ACN,0.49046427888160565
2010-01-21,ATVI,0.07232327751250225
2010-01-22,MMM,0.3779888175841757
2010-01-22,ABT,0.060664407897748074
2010-01-22,ACN,0.4891865408283223
2010-01-22,ATVI,0.07216023368975394
2010-01-25,MMM,0.38090136848502076
2010-01-25,ABT,0.06108255073524624
2010-01-25,ACN,0.48735638834073464
2010-01-25,ATVI,0.07065969243899828
2010-01-26,MMM,0.3809328255512555
2010-01-26,ABT,0.060990974686801896
2010-01-26,ACN,0.4880075168529857
2010-01-26,ATVI,0.07006868290895688
2010-01-27,MMM,0.3817332196240569
2010-01-27,ABT,0.05997616913441493
2010-01-27,ACN,0.48621121857178745
2010-01-27,ATVI,0.07207939266974078
2010-01-28,MMM,0.38037124952667517
2010-01-28,ABT,0.06096582607961834
2010-01-28,ACN,0.4862392963878535
2010-01-28,ATVI,0.07242362800585302
2010-01-29,MMM,0.3816404749825944
2010-01-29,ABT,0.0602179976592054
2010-01-29,ACN,0.48588160707922673
2010-01-29,ATVI,0.07225992027897353
2010-02-01,MMM,0.3806346698586282
2010-02-01,ABT,0.06055069478907499
2010-02-01,ACN,0.4872681899871853
2010-02-01,ATVI,0.07154644536511148
2010-02-02,MMM,0.3777561301692934
2010-02-02,ABT,0.06133966864859122
2010-02-02,ACN,0.48869233370290505
2010-02-02,ATVI,0.07221186747921031
2010-02-03,MMM,0.3803070601915133
2010-02-03,ABT,0.06117821425281907
2010-02-03,ACN,0.4852997835384304
2010-02-03,ATVI,0.07321494201723736
2010-02-04,MMM,0.37920130737163066
2010-02-04,ABT,0.06181065876598117
2010-02-04,ACN,0.4860297205521752
2010-02-04,ATVI,0.07295831331021291
2010-02-05,MMM,0.3773197085036435
2010-02-05,ABT,0.06220150138433652
2010-02-05,ACN,0.48690288914235613
2010-02-05,ATVI,0.07357590096966386
2010-02-08,MMM,0.3763708243256845
2010-02-08,ABT,0.06213130291184876
2010-02-08,ACN,0.4875150088813073
2010-02-08,ATVI,0.0739828638811595
2010-02-09,MMM,0.3799344106600363
2010-02-09,ABT,0.061771454501579254
2010-02-09,ACN,0.485536116952942
2010-02-09,ATVI,0.07275801788544245
2010-02-10,MMM,0.38054753011864206
2010-02-10,ABT,0.06184532415703673
2010-02-10,ACN,0.48427599765380497
2010-02-10,ATVI,0.07333114807051619
2010-02-11,MMM,0.38152185273102
2010-02-11,ABT,0.061048415606052085
2010-02-11,ACN,0.4785064651702359
2010-02-11,ATVI,0.078923266492692
2010-02-12,MMM,0.3770336136408445
2010-02-12,ABT,0.061606262624787946
2010-02-12,ACN,0.4820059285926061
2010-02-12,ATVI,0.07935419514176147
2010-02-16,MMM,0.3792514485483291
2010-02-16,ABT,0.061721460479470615
2010-02-16,ACN,0.4811926483856313
2010-02-16,ATVI,0.07783444258656906
2010-02-17,MMM,0.37806431077362745
2010-02-17,ABT,0.06196270202942548
2010-02-17,ACN,0.4810719929794538
2010-02-17,ATVI,0.07890099421749329
2010-02-18,MMM,0.37928934844720963
2010-02-18,ABT,0.06166685922085241
2010-02-18,ACN,0.4829380831731089
2010-02-18,ATVI,0.0761057091588291
2010-02-19,MMM,0.3828564601514928
2010-02-19,ABT,0.06126901416139832
2010-02-19,ACN,0.47986211111903776
2010-02-19,ATVI,0.07601241456807106
2010-02-22,MMM,0.3816000460880924
2010-02-22,ABT,0.06172644897464754
2010-02-22,ACN,0.481256887003762
2010-02-22,ATVI,0.07541661793349819
2010-02-23,MMM,0.381146128158106
2010-02-23,ABT,0.0619100262964343
